Leitura,Data
0.728,2018-11-14 11:10:03
0.732,2018-11-14 11:10:06
0.728,2018-11-14 11:10:10
0.723,2018-11-14 11:10:14
0.723,2018-11-14 11:10:17
0.732,2018-11-14 11:10:21
0.732,2018-11-14 11:10:25
0.723,2018-11-14 11:10:29
0.723,2018-11-14 11:10:32
0.728,2018-11-14 11:10:36
0.723,2018-11-14 11:10:40
0.718,2018-11-14 11:10:43
0.708,2018-11-14 11:10:47
0.723,2018-11-14 11:10:51
0.723,2018-11-14 11:10:55
1.104,2018-11-14 11:12:44
1.094,2018-11-14 11:12:48
1.079,2018-11-14 11:12:53
1.06,2018-11-14 11:12:58
0.859,2018-11-14 11:13:03
0.718,2018-11-14 11:13:07
0.747,2018-11-14 11:13:12
0.737,2018-11-14 11:13:17
0.723,2018-11-14 11:13:21
0.732,2018-11-14 11:13:26
0.728,2018-11-14 11:13:31
0.732,2018-11-14 11:13:36
0.728,2018-11-14 11:13:40
0.737,2018-11-14 11:13:45
0.728,2018-11-14 11:13:50
0.732,2018-11-14 11:13:55
0.732,2018-11-14 11:13:59
0.723,2018-11-14 11:14:04
0.732,2018-11-14 11:14:09
0.732,2018-11-14 11:14:13
0.732,2018-11-14 11:14:18
0.718,2018-11-14 11:14:23
0.723,2018-11-14 11:14:28
0.737,2018-11-14 11:14:32
0.723,2018-11-14 11:14:37
0.742,2018-11-14 11:14:42
0.991,2018-11-14 11:14:46
1.064,2018-11-14 11:14:51
1.079,2018-11-14 11:14:56
1.079,2018-11-14 11:15:01
1.079,2018-11-14 11:15:05
1.05,2018-11-14 11:15:10
1.03,2018-11-14 11:15:15
1.05,2018-11-14 11:15:20
1.06,2018-11-14 11:15:24
1.035,2018-11-14 11:15:29
1.064,2018-11-14 11:15:34
1.074,2018-11-14 11:15:38
1.084,2018-11-14 11:15:43
1.084,2018-11-14 11:15:48
1.084,2018-11-14 11:15:53
1.099,2018-11-14 11:15:57
1.108,2018-11-14 11:16:02
1.108,2018-11-14 11:16:07
1.108,2018-11-14 11:16:11
1.118,2018-11-14 11:16:16
1.113,2018-11-14 11:16:21
1.113,2018-11-14 11:16:26
1.128,2018-11-14 11:16:30
1.133,2018-11-14 11:16:35
1.133,2018-11-14 11:16:40
1.123,2018-11-14 11:16:44
1.138,2018-11-14 11:16:49
1.123,2018-11-14 11:16:54
1.143,2018-11-14 11:16:59
1.138,2018-11-14 11:17:03
1.143,2018-11-14 11:17:08
1.147,2018-11-14 11:17:13
1.147,2018-11-14 11:17:18
1.147,2018-11-14 11:17:22
1.147,2018-11-14 11:17:27
1.152,2018-11-14 11:17:32
1.152,2018-11-14 11:17:36
1.157,2018-11-14 11:17:41
1.157,2018-11-14 11:17:46
1.167,2018-11-14 11:17:51
1.157,2018-11-14 11:17:55
1.167,2018-11-14 11:18:00
