Leitura,Data 
0.337,2018-11-14 11:10:02
0.352,2018-11-14 11:10:06
0.342,2018-11-14 11:10:10
0.356,2018-11-14 11:10:13
0.332,2018-11-14 11:10:17
0.347,2018-11-14 11:10:21
0.347,2018-11-14 11:10:24
0.347,2018-11-14 11:10:28
0.352,2018-11-14 11:10:32
0.337,2018-11-14 11:10:36
0.342,2018-11-14 11:10:39
0.342,2018-11-14 11:10:43
0.332,2018-11-14 11:10:47
0.347,2018-11-14 11:10:50
0.342,2018-11-14 11:10:54
0.547,2018-11-14 11:12:43
0.527,2018-11-14 11:12:48
0.542,2018-11-14 11:12:53
0.508,2018-11-14 11:12:57
0.41,2018-11-14 11:13:02
0.342,2018-11-14 11:13:07
0.366,2018-11-14 11:13:12
0.347,2018-11-14 11:13:16
0.352,2018-11-14 11:13:21
0.352,2018-11-14 11:13:26
0.347,2018-11-14 11:13:31
0.337,2018-11-14 11:13:35
0.332,2018-11-14 11:13:40
0.347,2018-11-14 11:13:45
0.342,2018-11-14 11:13:49
0.342,2018-11-14 11:13:54
0.347,2018-11-14 11:13:59
0.347,2018-11-14 11:14:04
0.347,2018-11-14 11:14:08
0.342,2018-11-14 11:14:13
0.342,2018-11-14 11:14:18
0.342,2018-11-14 11:14:22
0.361,2018-11-14 11:14:27
0.342,2018-11-14 11:14:32
0.337,2018-11-14 11:14:37
0.342,2018-11-14 11:14:41
0.454,2018-11-14 11:14:46
0.513,2018-11-14 11:14:51
0.527,2018-11-14 11:14:55
0.522,2018-11-14 11:15:00
0.527,2018-11-14 11:15:05
0.518,2018-11-14 11:15:10
0.498,2018-11-14 11:15:14
0.518,2018-11-14 11:15:19
0.513,2018-11-14 11:15:24
0.493,2018-11-14 11:15:29
0.518,2018-11-14 11:15:33
0.522,2018-11-14 11:15:38
0.537,2018-11-14 11:15:43
0.532,2018-11-14 11:15:47
0.537,2018-11-14 11:15:52
0.537,2018-11-14 11:15:57
0.542,2018-11-14 11:16:02
0.557,2018-11-14 11:16:06
0.542,2018-11-14 11:16:11
0.537,2018-11-14 11:16:16
0.566,2018-11-14 11:16:20
0.552,2018-11-14 11:16:25
0.562,2018-11-14 11:16:30
0.552,2018-11-14 11:16:35
0.566,2018-11-14 11:16:39
0.542,2018-11-14 11:16:44
0.552,2018-11-14 11:16:49
0.557,2018-11-14 11:16:54
0.552,2018-11-14 11:16:58
0.566,2018-11-14 11:17:03
0.562,2018-11-14 11:17:08
0.571,2018-11-14 11:17:12
0.566,2018-11-14 11:17:17
0.576,2018-11-14 11:17:22
0.571,2018-11-14 11:17:27
0.571,2018-11-14 11:17:31
0.571,2018-11-14 11:17:36
0.566,2018-11-14 11:17:41
0.576,2018-11-14 11:17:45
0.571,2018-11-14 11:17:50
0.581,2018-11-14 11:17:55
0.576,2018-11-14 11:18:00
0.576,2018-11-14 11:18:04
0.576,2018-11-14 11:18:09
0.566,2018-11-14 11:18:14
