Leitura,Data 
1.885,2018-11-14 11:10:02
1.875,2018-11-14 11:10:06
1.885,2018-11-14 11:10:10
1.88,2018-11-14 11:10:14
1.885,2018-11-14 11:10:17
1.88,2018-11-14 11:10:21
1.88,2018-11-14 11:10:25
1.885,2018-11-14 11:10:28
1.885,2018-11-14 11:10:32
1.885,2018-11-14 11:10:36
1.88,2018-11-14 11:10:40
1.875,2018-11-14 11:10:43
1.875,2018-11-14 11:10:47
1.875,2018-11-14 11:10:51
1.875,2018-11-14 11:10:54
2.52,2018-11-14 11:12:44
2.505,2018-11-14 11:12:48
2.48,2018-11-14 11:12:53
2.437,2018-11-14 11:12:58
2.109,2018-11-14 11:13:02
1.875,2018-11-14 11:13:07
1.909,2018-11-14 11:13:12
1.865,2018-11-14 11:13:17
1.875,2018-11-14 11:13:21
1.88,2018-11-14 11:13:26
1.88,2018-11-14 11:13:31
1.885,2018-11-14 11:13:35
1.885,2018-11-14 11:13:40
1.885,2018-11-14 11:13:45
1.885,2018-11-14 11:13:50
1.885,2018-11-14 11:13:54
1.88,2018-11-14 11:13:59
1.88,2018-11-14 11:14:04
1.88,2018-11-14 11:14:08
1.88,2018-11-14 11:14:13
1.875,2018-11-14 11:14:18
1.88,2018-11-14 11:14:23
1.87,2018-11-14 11:14:27
1.895,2018-11-14 11:14:32
1.86,2018-11-14 11:14:37
1.87,2018-11-14 11:14:42
2.305,2018-11-14 11:14:46
2.456,2018-11-14 11:14:51
2.48,2018-11-14 11:14:56
2.485,2018-11-14 11:15:00
2.476,2018-11-14 11:15:05
2.441,2018-11-14 11:15:10
2.393,2018-11-14 11:15:15
2.441,2018-11-14 11:15:19
2.446,2018-11-14 11:15:24
2.422,2018-11-14 11:15:29
2.456,2018-11-14 11:15:33
2.476,2018-11-14 11:15:38
2.48,2018-11-14 11:15:43
2.49,2018-11-14 11:15:48
2.495,2018-11-14 11:15:52
2.51,2018-11-14 11:15:57
2.515,2018-11-14 11:16:02
2.524,2018-11-14 11:16:07
2.524,2018-11-14 11:16:11
2.539,2018-11-14 11:16:16
2.549,2018-11-14 11:16:21
2.544,2018-11-14 11:16:25
2.549,2018-11-14 11:16:30
2.549,2018-11-14 11:16:35
2.559,2018-11-14 11:16:40
2.549,2018-11-14 11:16:44
2.554,2018-11-14 11:16:49
2.549,2018-11-14 11:16:54
2.554,2018-11-14 11:16:58
2.563,2018-11-14 11:17:03
2.568,2018-11-14 11:17:08
2.568,2018-11-14 11:17:13
2.578,2018-11-14 11:17:17
2.583,2018-11-14 11:17:22
2.583,2018-11-14 11:17:27
2.593,2018-11-14 11:17:32
2.588,2018-11-14 11:17:36
2.593,2018-11-14 11:17:41
2.593,2018-11-14 11:17:46
2.598,2018-11-14 11:17:50
2.603,2018-11-14 11:17:55
2.598,2018-11-14 11:18:00
2.603,2018-11-14 11:18:05
2.603,2018-11-14 11:18:09
2.603,2018-11-14 11:18:14
2.593,2018-11-14 11:18:19
2.607,2018-11-14 11:18:23
2.603,2018-11-14 11:18:28
2.593,2018-11-14 11:18:33
2.598,2018-11-14 11:18:38
2.593,2018-11-14 11:18:42
2.583,2018-11-14 11:18:47
2.578,2018-11-14 11:18:52
2.578,2018-11-14 11:18:56
2.573,2018-11-14 11:19:01
2.559,2018-11-14 11:19:06
2.554,2018-11-14 11:19:11
2.549,2018-11-14 11:19:15
2.539,2018-11-14 11:19:20
2.539,2018-11-14 11:19:25
2.534,2018-11-14 11:19:30
2.515,2018-11-14 11:19:34
2.495,2018-11-14 11:19:39
2.441,2018-11-14 11:19:44
2.236,2018-11-14 11:19:48
2.432,2018-11-14 11:19:53
2.49,2018-11-14 11:19:58
2.495,2018-11-14 11:20:03
2.495,2018-11-14 11:20:07
2.49,2018-11-14 11:20:12
2.48,2018-11-14 11:20:17
2.476,2018-11-14 11:20:21
2.471,2018-11-14 11:20:26
2.461,2018-11-14 11:20:31
2.451,2018-11-14 11:20:36
2.451,2018-11-14 11:20:40
2.437,2018-11-14 11:20:45
2.422,2018-11-14 11:20:50
2.417,2018-11-14 11:20:55
2.407,2018-11-14 11:20:59
2.397,2018-11-14 11:21:04
2.388,2018-11-14 11:21:09
2.383,2018-11-14 11:21:13
2.373,2018-11-14 11:21:18
2.368,2018-11-14 11:21:23
2.358,2018-11-14 11:21:28
2.344,2018-11-14 11:21:32
2.344,2018-11-14 11:21:37
