Leitura,Data
2.451,2019-03-17 11:19:18
2.451,2019-03-17 11:19:19
2.446,2019-03-17 11:19:20
2.446,2019-03-17 11:19:21
2.446,2019-03-17 11:19:22
2.446,2019-03-17 11:19:23
2.446,2019-03-17 11:19:24
2.441,2019-03-17 11:19:25
2.446,2019-03-17 11:19:26
2.441,2019-03-17 11:19:27
2.441,2019-03-17 11:19:28
2.441,2019-03-17 11:19:29
2.441,2019-03-17 11:19:30
2.441,2019-03-17 11:19:31
2.441,2019-03-17 11:19:32
2.441,2019-03-17 11:19:33
2.437,2019-03-17 11:19:34
2.437,2019-03-17 11:19:35
2.432,2019-03-17 11:19:36
2.437,2019-03-17 11:19:37
2.437,2019-03-17 11:19:38
2.437,2019-03-17 11:19:39
2.437,2019-03-17 11:19:40
2.432,2019-03-17 11:19:41
2.432,2019-03-17 11:19:42
2.432,2019-03-17 11:19:43
2.432,2019-03-17 11:19:45
2.432,2019-03-17 11:19:46
2.432,2019-03-17 11:19:47
2.432,2019-03-17 11:19:48
2.432,2019-03-17 11:19:49
2.427,2019-03-17 11:19:50
2.427,2019-03-17 11:19:51
2.432,2019-03-17 11:19:52
2.427,2019-03-17 11:19:53
2.427,2019-03-17 11:19:54
2.427,2019-03-17 11:19:55
2.427,2019-03-17 11:19:56
2.422,2019-03-17 11:19:57
2.422,2019-03-17 11:19:58
2.427,2019-03-17 11:19:59
2.427,2019-03-17 11:20:00
2.427,2019-03-17 11:20:01
2.427,2019-03-17 11:20:02
2.422,2019-03-17 11:20:03
2.427,2019-03-17 11:20:04
2.427,2019-03-17 11:20:05
2.422,2019-03-17 11:20:06
2.422,2019-03-17 11:20:07
2.422,2019-03-17 11:20:08
2.422,2019-03-17 11:20:09
2.422,2019-03-17 11:20:10
2.422,2019-03-17 11:20:11
2.422,2019-03-17 11:20:12
2.422,2019-03-17 11:20:15
2.422,2019-03-17 11:20:16
2.417,2019-03-17 11:20:16
2.422,2019-03-17 11:20:17
2.417,2019-03-17 11:20:17
2.417,2019-03-17 11:20:18
2.417,2019-03-17 11:20:19
2.417,2019-03-17 11:20:20
2.417,2019-03-17 11:20:21
2.417,2019-03-17 11:20:23
2.412,2019-03-17 11:20:25
2.417,2019-03-17 11:20:25
2.412,2019-03-17 11:20:26
2.412,2019-03-17 11:20:27
2.417,2019-03-17 11:20:28
2.417,2019-03-17 11:20:29
2.412,2019-03-17 11:20:30
2.412,2019-03-17 11:20:31
2.412,2019-03-17 11:20:32
2.412,2019-03-17 11:20:33
2.412,2019-03-17 11:20:34
2.412,2019-03-17 11:20:35
2.412,2019-03-17 11:20:36
2.412,2019-03-17 11:20:37
2.407,2019-03-17 11:20:38
2.412,2019-03-17 11:20:39
2.412,2019-03-17 11:20:40
2.412,2019-03-17 11:20:41
2.407,2019-03-17 11:20:42
2.407,2019-03-17 11:20:43
2.407,2019-03-17 11:20:44
2.407,2019-03-17 11:20:45
2.407,2019-03-17 11:20:46
2.407,2019-03-17 11:20:47
2.402,2019-03-17 11:20:48
2.402,2019-03-17 11:20:49
2.402,2019-03-17 11:20:50
2.402,2019-03-17 11:20:51
2.402,2019-03-17 11:20:52
2.402,2019-03-17 11:20:53
2.402,2019-03-17 11:20:54
2.402,2019-03-17 11:20:55
2.402,2019-03-17 11:20:56
2.402,2019-03-17 11:20:57
2.397,2019-03-17 11:20:58
2.402,2019-03-17 11:20:59
2.397,2019-03-17 11:21:00
2.402,2019-03-17 11:21:01
2.402,2019-03-17 11:21:02
2.402,2019-03-17 11:21:03
2.397,2019-03-17 11:21:04
2.397,2019-03-17 11:21:05
2.397,2019-03-17 11:21:06
2.397,2019-03-17 11:21:07
2.397,2019-03-17 11:21:08
2.397,2019-03-17 11:21:10
2.397,2019-03-17 11:21:11
2.397,2019-03-17 11:21:12
2.397,2019-03-17 11:21:13
2.397,2019-03-17 11:21:14
2.393,2019-03-17 11:21:15
2.397,2019-03-17 11:21:16
2.397,2019-03-17 11:21:17
2.397,2019-03-17 11:21:18
2.397,2019-03-17 11:21:19
2.397,2019-03-17 11:21:20
2.393,2019-03-17 11:21:21
2.393,2019-03-17 11:21:22
2.393,2019-03-17 11:21:23
2.393,2019-03-17 11:21:24
2.393,2019-03-17 11:21:25
2.393,2019-03-17 11:21:26
2.393,2019-03-17 11:21:27
2.393,2019-03-17 11:21:28
2.393,2019-03-17 11:21:29
2.393,2019-03-17 11:21:30
2.393,2019-03-17 11:21:31
2.388,2019-03-17 11:21:32
2.388,2019-03-17 11:21:33
2.388,2019-03-17 11:21:34
2.388,2019-03-17 11:21:35
2.388,2019-03-17 11:21:36
2.388,2019-03-17 11:21:37
2.388,2019-03-17 11:21:38
2.388,2019-03-17 11:21:39
2.383,2019-03-17 11:21:40
2.383,2019-03-17 11:21:41
2.383,2019-03-17 11:21:42
2.383,2019-03-17 11:21:43
2.383,2019-03-17 11:21:44
2.383,2019-03-17 11:21:45
2.378,2019-03-17 11:21:46
2.383,2019-03-17 11:21:47
2.378,2019-03-17 11:21:48
2.378,2019-03-17 11:21:49
2.378,2019-03-17 11:21:50
2.378,2019-03-17 11:21:51
2.378,2019-03-17 11:21:52
2.378,2019-03-17 11:21:54
2.378,2019-03-17 11:21:55
2.378,2019-03-17 11:21:56
2.378,2019-03-17 11:21:57
2.378,2019-03-17 11:21:58
2.378,2019-03-17 11:21:59
2.373,2019-03-17 11:22:00
2.378,2019-03-17 11:22:01
2.373,2019-03-17 11:22:02
2.373,2019-03-17 11:22:03
2.373,2019-03-17 11:22:04
2.373,2019-03-17 11:22:05
2.373,2019-03-17 11:22:06
2.373,2019-03-17 11:22:07
2.368,2019-03-17 11:22:08
2.373,2019-03-17 11:22:09
2.373,2019-03-17 11:22:10
2.373,2019-03-17 11:22:11
2.368,2019-03-17 11:22:12
2.368,2019-03-17 11:22:13
2.373,2019-03-17 11:22:14
2.368,2019-03-17 11:22:15
2.368,2019-03-17 11:22:16
2.373,2019-03-17 11:22:17
2.373,2019-03-17 11:22:18
2.373,2019-03-17 11:22:19
2.368,2019-03-17 11:22:20
2.373,2019-03-17 11:22:21
2.373,2019-03-17 11:22:22
2.368,2019-03-17 11:22:23
2.368,2019-03-17 11:22:24
2.368,2019-03-17 11:22:25
2.373,2019-03-17 11:22:26
2.373,2019-03-17 11:22:27
2.373,2019-03-17 11:22:28
2.373,2019-03-17 11:22:29
2.373,2019-03-17 11:22:30
2.373,2019-03-17 11:22:31
2.368,2019-03-17 11:22:32
2.373,2019-03-17 11:22:33
2.368,2019-03-17 11:22:34
2.373,2019-03-17 11:22:36
2.373,2019-03-17 11:22:37
2.373,2019-03-17 11:22:38
2.373,2019-03-17 11:22:39
2.373,2019-03-17 11:22:40
2.373,2019-03-17 11:22:41
2.373,2019-03-17 11:22:42
2.373,2019-03-17 11:22:43
2.373,2019-03-17 11:22:44
2.373,2019-03-17 11:22:45
2.373,2019-03-17 11:22:46
2.373,2019-03-17 11:22:47
2.373,2019-03-17 11:22:48
2.373,2019-03-17 11:22:49
2.373,2019-03-17 11:22:50
2.378,2019-03-17 11:22:51
2.373,2019-03-17 11:22:52
2.378,2019-03-17 11:22:53
2.378,2019-03-17 11:22:54
2.378,2019-03-17 11:22:55
2.378,2019-03-17 11:22:56
2.378,2019-03-17 11:22:57
2.378,2019-03-17 11:22:58
2.378,2019-03-17 11:22:59
2.378,2019-03-17 11:23:00
2.378,2019-03-17 11:23:01
2.378,2019-03-17 11:23:02
2.378,2019-03-17 11:23:03
2.383,2019-03-17 11:23:04
2.378,2019-03-17 11:23:05
2.383,2019-03-17 11:23:06
2.383,2019-03-17 11:23:07
2.383,2019-03-17 11:23:08
2.383,2019-03-17 11:23:09
2.383,2019-03-17 11:23:10
2.383,2019-03-17 11:23:11
2.388,2019-03-17 11:23:12
