Leitura,Data
4.995,2018-12-01 00:00:01
4.995,2018-12-01 00:00:01
4.995,2018-12-01 00:00:03
4.995,2018-12-01 00:00:04
4.995,2018-12-01 00:00:05
4.995,2018-12-01 00:00:06
4.995,2018-12-01 00:00:07
4.995,2018-12-01 00:00:09
4.995,2018-12-01 00:00:10
4.995,2018-12-01 00:00:11
4.995,2018-12-01 00:00:12
4.99,2018-12-01 00:00:13
4.995,2018-12-01 00:00:14
4.995,2018-12-01 00:00:15
4.995,2018-12-01 00:00:17
4.995,2018-12-01 00:00:18
4.995,2018-12-01 00:00:19
4.995,2018-12-01 00:00:20
4.995,2018-12-01 00:00:21
4.995,2018-12-01 00:00:22
4.995,2018-12-01 00:00:24
4.995,2018-12-01 00:00:25
4.995,2018-12-01 00:00:26
4.995,2018-12-01 00:00:27
4.995,2018-12-01 00:00:28
4.995,2018-12-01 00:00:29
4.995,2018-12-01 00:00:30
4.995,2018-12-01 00:00:32
4.995,2018-12-01 00:00:33
4.99,2018-12-01 00:00:34
4.995,2018-12-01 00:00:35
4.995,2018-12-01 00:00:36
4.995,2018-12-01 00:00:37
4.995,2018-12-01 00:00:38
4.99,2018-12-01 00:00:40
4.995,2018-12-01 00:00:41
4.995,2018-12-01 00:00:42
4.995,2018-12-01 00:00:43
4.995,2018-12-01 00:00:44
4.995,2018-12-01 00:00:45
4.995,2018-12-01 00:00:47
4.995,2018-12-01 00:00:48
4.995,2018-12-01 00:00:49
4.995,2018-12-01 00:00:50
4.995,2018-12-01 00:00:51
4.995,2018-12-01 00:00:52
4.995,2018-12-01 00:00:54
4.995,2018-12-01 00:00:55
4.995,2018-12-01 00:00:56
4.995,2018-12-01 00:00:57
4.995,2018-12-01 00:00:58
4.995,2018-12-01 00:00:59
4.995,2018-12-01 00:01:01
4.995,2018-12-01 00:01:02
4.995,2018-12-01 00:01:03
4.995,2018-12-01 00:01:04
4.995,2018-12-01 00:01:05
4.995,2018-12-01 00:01:06
4.995,2018-12-01 00:01:08
4.995,2018-12-01 00:01:09
4.995,2018-12-01 00:01:10
4.995,2018-12-01 00:01:11
4.995,2018-12-01 00:01:12
4.995,2018-12-01 00:01:13
4.995,2018-12-01 00:01:15
4.995,2018-12-01 00:01:16
4.995,2018-12-01 00:01:17
4.995,2018-12-01 00:01:18
4.995,2018-12-01 00:01:19
4.985,2018-12-01 00:01:20
4.995,2018-12-01 00:01:22
4.99,2018-12-01 00:01:23
4.995,2018-12-01 00:01:24
4.995,2018-12-01 00:01:25
4.995,2018-12-01 00:01:26
4.995,2018-12-01 00:01:27
4.995,2018-12-01 00:01:28
4.995,2018-12-01 00:01:29
4.995,2018-12-01 00:01:31
4.995,2018-12-01 00:01:32
4.995,2018-12-01 00:01:33
4.995,2018-12-01 00:01:34
4.995,2018-12-01 00:01:35
4.995,2018-12-01 00:01:36
4.995,2018-12-01 00:01:38
4.995,2018-12-01 00:01:39
4.995,2018-12-01 00:01:40
4.995,2018-12-01 00:01:41
4.995,2018-12-01 00:01:42
4.995,2018-12-01 00:01:43
4.995,2018-12-01 00:01:45
4.995,2018-12-01 00:01:46
4.995,2018-12-01 00:01:47
4.995,2018-12-01 00:01:48
4.995,2018-12-01 00:01:49
4.995,2018-12-01 00:01:50
4.995,2018-12-01 00:01:52
4.995,2018-12-01 00:01:53
4.995,2018-12-01 00:01:54
4.995,2018-12-01 00:01:55
4.995,2018-12-01 00:01:56
4.995,2018-12-01 00:01:57
4.995,2018-12-01 00:01:59
4.995,2018-12-01 00:02:00
4.995,2018-12-01 00:02:01
4.995,2018-12-01 00:02:02
4.995,2018-12-01 00:02:03
4.995,2018-12-01 00:02:04
4.995,2018-12-01 00:02:06
4.995,2018-12-01 00:02:07
4.995,2018-12-01 00:02:08
4.99,2018-12-01 00:02:09
4.995,2018-12-01 00:02:10
4.995,2018-12-01 00:02:11
4.995,2018-12-01 00:02:12
4.995,2018-12-01 00:02:14
4.995,2018-12-01 00:02:15
4.995,2018-12-01 00:02:16
4.995,2018-12-01 00:02:17
4.995,2018-12-01 00:02:18
4.995,2018-12-01 00:02:20
4.995,2018-12-01 00:02:20
4.995,2018-12-01 00:02:22
4.995,2018-12-01 00:02:23
4.995,2018-12-01 00:02:24
4.995,2018-12-01 00:02:25
4.995,2018-12-01 00:02:26
4.995,2018-12-01 00:02:27
4.995,2018-12-01 00:02:29
4.995,2018-12-01 00:02:30
4.995,2018-12-01 00:02:31
4.995,2018-12-01 00:02:32
4.995,2018-12-01 00:02:33
4.995,2018-12-01 00:02:34
4.995,2018-12-01 00:02:36
4.995,2018-12-01 00:02:37
4.995,2018-12-01 00:02:38
4.995,2018-12-01 00:02:39
4.995,2018-12-01 00:02:40
4.995,2018-12-01 00:02:41
4.995,2018-12-01 00:02:43
4.995,2018-12-01 00:02:44
4.995,2018-12-01 00:02:45
4.995,2018-12-01 00:02:46
4.995,2018-12-01 00:02:47
4.995,2018-12-01 00:02:48
4.995,2018-12-01 00:02:50
4.995,2018-12-01 00:02:51
4.995,2018-12-01 00:02:52
4.995,2018-12-01 00:02:53
4.995,2018-12-01 00:02:54
4.995,2018-12-01 00:02:55
4.995,2018-12-01 00:02:57
4.99,2018-12-01 00:02:58
4.995,2018-12-01 00:02:59
4.995,2018-12-01 00:03:00
4.995,2018-12-01 00:03:01
4.995,2018-12-01 00:03:02
4.995,2018-12-01 00:03:03
4.995,2018-12-01 00:03:05
4.995,2018-12-01 00:03:06
4.995,2018-12-01 00:03:07
4.995,2018-12-01 00:03:08
4.995,2018-12-01 00:03:09
4.995,2018-12-01 00:03:11
4.995,2018-12-01 00:03:11
4.995,2018-12-01 00:03:13
4.995,2018-12-01 00:03:14
4.995,2018-12-01 00:03:15
4.995,2018-12-01 00:03:16
4.995,2018-12-01 00:03:17
4.995,2018-12-01 00:03:18
4.99,2018-12-01 00:03:20
4.995,2018-12-01 00:03:21
4.995,2018-12-01 00:03:22
4.995,2018-12-01 00:03:23
4.995,2018-12-01 00:03:24
4.995,2018-12-01 00:03:25
4.995,2018-12-01 00:03:27
4.995,2018-12-01 00:03:28
4.995,2018-12-01 00:03:29
4.995,2018-12-01 00:03:30
4.995,2018-12-01 00:03:31
4.995,2018-12-01 00:03:32
4.995,2018-12-01 00:03:34
4.995,2018-12-01 00:03:35
4.995,2018-12-01 00:03:36
4.995,2018-12-01 00:03:37
4.995,2018-12-01 00:03:38
4.99,2018-12-01 00:03:39
4.995,2018-12-01 00:03:41
4.995,2018-12-01 00:03:42
4.995,2018-12-01 00:03:43
4.995,2018-12-01 00:03:44
4.995,2018-12-01 00:03:45
4.995,2018-12-01 00:03:46
4.995,2018-12-01 00:03:48
4.995,2018-12-01 00:03:49
4.99,2018-12-01 00:03:50
4.995,2018-12-01 00:03:51
4.995,2018-12-01 00:03:52
4.99,2018-12-01 00:03:53
4.995,2018-12-01 00:03:55
4.995,2018-12-01 00:03:56
4.995,2018-12-01 00:03:57
4.995,2018-12-01 00:03:58
4.995,2018-12-01 00:03:59
4.995,2018-12-01 00:04:00
4.995,2018-12-01 00:04:01
4.995,2018-12-01 00:04:02
4.995,2018-12-01 00:04:04
4.995,2018-12-01 00:04:05
4.995,2018-12-01 00:04:06
4.995,2018-12-01 00:04:07
4.995,2018-12-01 00:04:08
4.995,2018-12-01 00:04:09
4.995,2018-12-01 00:04:11
4.995,2018-12-01 00:04:12
4.99,2018-12-01 00:04:13
4.995,2018-12-01 00:04:14
4.995,2018-12-01 00:04:15
4.995,2018-12-01 00:04:16
4.995,2018-12-01 00:04:18
4.995,2018-12-01 00:04:19
4.995,2018-12-01 00:04:20
4.995,2018-12-01 00:04:21
4.995,2018-12-01 00:04:22
4.995,2018-12-01 00:04:23
4.995,2018-12-01 00:04:25
4.995,2018-12-01 00:04:26
4.995,2018-12-01 00:04:27
4.995,2018-12-01 00:04:28
4.995,2018-12-01 00:04:29
4.995,2018-12-01 00:04:30
4.995,2018-12-01 00:04:32
4.99,2018-12-01 00:04:33
4.995,2018-12-01 00:04:34
4.995,2018-12-01 00:04:35
4.995,2018-12-01 00:04:36
4.995,2018-12-01 00:04:37
4.995,2018-12-01 00:04:39
4.995,2018-12-01 00:04:40
4.995,2018-12-01 00:04:41
4.995,2018-12-01 00:04:42
4.995,2018-12-01 00:04:43
4.995,2018-12-01 00:04:44
4.995,2018-12-01 00:04:45
4.995,2018-12-01 00:04:47
4.995,2018-12-01 00:04:48
4.995,2018-12-01 00:04:49
4.995,2018-12-01 00:04:50
4.995,2018-12-01 00:04:51
4.995,2018-12-01 00:04:52
4.995,2018-12-01 00:04:53
4.995,2018-12-01 00:04:55
4.995,2018-12-01 00:04:56
4.995,2018-12-01 00:04:57
4.995,2018-12-01 00:04:58
4.995,2018-12-01 00:04:59
4.995,2018-12-01 00:05:00
4.995,2018-12-01 00:05:02
4.995,2018-12-01 00:05:03
4.995,2018-12-01 00:05:04
4.995,2018-12-01 00:05:05
4.99,2018-12-01 00:05:07
4.995,2018-12-01 00:05:07
4.995,2018-12-01 00:05:09
4.995,2018-12-01 00:05:10
4.995,2018-12-01 00:05:11
4.995,2018-12-01 00:05:12
4.995,2018-12-01 00:05:13
4.995,2018-12-01 00:05:14
4.995,2018-12-01 00:05:16
4.995,2018-12-01 00:05:17
4.995,2018-12-01 00:05:18
4.995,2018-12-01 00:05:19
4.995,2018-12-01 00:05:20
4.995,2018-12-01 00:05:21
4.995,2018-12-01 00:05:23
4.995,2018-12-01 00:05:24
4.995,2018-12-01 00:05:25
4.995,2018-12-01 00:05:26
4.995,2018-12-01 00:05:27
4.995,2018-12-01 00:05:28
4.995,2018-12-01 00:05:30
4.995,2018-12-01 00:05:31
4.995,2018-12-01 00:05:32
4.995,2018-12-01 00:05:33
4.99,2018-12-01 00:05:34
4.995,2018-12-01 00:05:35
4.995,2018-12-01 00:05:37
4.995,2018-12-01 00:05:38
4.995,2018-12-01 00:05:39
4.995,2018-12-01 00:05:40
4.995,2018-12-01 00:05:41
4.995,2018-12-01 00:05:42
4.995,2018-12-01 00:05:43
4.995,2018-12-01 00:05:44
4.995,2018-12-01 00:05:46
4.995,2018-12-01 00:05:47
4.995,2018-12-01 00:05:48
4.995,2018-12-01 00:05:49
4.995,2018-12-01 00:05:50
4.995,2018-12-01 00:05:51
4.995,2018-12-01 00:05:53
4.995,2018-12-01 00:05:54
4.995,2018-12-01 00:05:55
4.995,2018-12-01 00:05:56
4.995,2018-12-01 00:05:57
4.995,2018-12-01 00:05:58
4.995,2018-12-01 00:06:00
4.995,2018-12-01 00:06:01
4.995,2018-12-01 00:06:02
4.995,2018-12-01 00:06:03
4.995,2018-12-01 00:06:04
4.995,2018-12-01 00:06:05
4.995,2018-12-01 00:06:07
4.995,2018-12-01 00:06:08
4.995,2018-12-01 00:06:09
4.995,2018-12-01 00:06:10
4.995,2018-12-01 00:06:11
4.995,2018-12-01 00:06:12
4.995,2018-12-01 00:06:14
4.995,2018-12-01 00:06:15
4.995,2018-12-01 00:06:16
4.995,2018-12-01 00:06:17
4.995,2018-12-01 00:06:18
4.995,2018-12-01 00:06:19
4.995,2018-12-01 00:06:21
4.995,2018-12-01 00:06:22
4.995,2018-12-01 00:06:23
4.995,2018-12-01 00:06:24
4.995,2018-12-01 00:06:25
4.995,2018-12-01 00:06:26
4.995,2018-12-01 00:06:27
4.995,2018-12-01 00:06:29
4.995,2018-12-01 00:06:30
4.995,2018-12-01 00:06:31
4.995,2018-12-01 00:06:32
4.995,2018-12-01 00:06:33
