Tensão,Corrente,Data
17.498,2.793,2018-11-14 11:10:03
17.548,2.798,2018-11-14 11:10:07
16.705,2.822,2018-11-14 11:10:10
16.011,2.832,2018-11-14 11:10:14
15.961,2.832,2018-11-14 11:10:18
16.506,2.837,2018-11-14 11:10:22
17.399,2.788,2018-11-14 11:10:25
17.151,2.817,2018-11-14 11:10:29
16.11,2.842,2018-11-14 11:10:33
15.763,2.842,2018-11-14 11:10:36
16.011,2.837,2018-11-14 11:10:40
16.556,2.817,2018-11-14 11:10:44
17.101,2.808,2018-11-14 11:10:48
17.548,2.788,2018-11-14 11:10:51
16.705,2.827,2018-11-14 11:10:55
15.713,2.598,2018-11-14 11:12:44
16.506,2.612,2018-11-14 11:12:49
16.506,2.607,2018-11-14 11:12:54
17.052,2.607,2018-11-14 11:12:58
16.159,2.715,2018-11-14 11:13:03
17.746,2.808,2018-11-14 11:13:08
14.771,2.827,2018-11-14 11:13:12
16.457,2.832,2018-11-14 11:13:17
16.407,2.847,2018-11-14 11:13:22
14.871,2.861,2018-11-14 11:13:27
16.011,2.842,2018-11-14 11:13:31
16.308,2.847,2018-11-14 11:13:36
16.358,2.837,2018-11-14 11:13:41
15.317,2.852,2018-11-14 11:13:45
16.06,2.837,2018-11-14 11:13:50
16.903,2.822,2018-11-14 11:13:55
15.019,2.856,2018-11-14 11:14:00
16.903,2.822,2018-11-14 11:14:04
15.019,2.856,2018-11-14 11:14:09
16.953,2.822,2018-11-14 11:14:14
15.069,2.861,2018-11-14 11:14:19
16.308,2.842,2018-11-14 11:14:23
16.209,2.852,2018-11-14 11:14:28
16.804,2.813,2018-11-14 11:14:33
16.854,2.837,2018-11-14 11:14:37
17.795,2.793,2018-11-14 11:14:42
12.64,2.642,2018-11-14 11:14:47
17.795,2.593,2018-11-14 11:14:52
14.722,2.612,2018-11-14 11:14:56
12.987,2.617,2018-11-14 11:15:01
12.937,2.617,2018-11-14 11:15:06
13.185,2.622,2018-11-14 11:15:10
14.028,2.627,2018-11-14 11:15:15
13.086,2.627,2018-11-14 11:15:20
12.59,2.622,2018-11-14 11:15:25
13.483,2.627,2018-11-14 11:15:29
13.284,2.622,2018-11-14 11:15:34
12.689,2.612,2018-11-14 11:15:39
12.342,2.622,2018-11-14 11:15:44
13.433,2.607,2018-11-14 11:15:48
12.987,2.617,2018-11-14 11:15:53
12.441,2.617,2018-11-14 11:15:58
13.284,2.612,2018-11-14 11:16:02
13.978,2.607,2018-11-14 11:16:07
16.11,2.598,2018-11-14 11:16:12
15.713,2.603,2018-11-14 11:16:17
15.168,2.603,2018-11-14 11:16:21
15.267,2.607,2018-11-14 11:16:26
16.308,2.598,2018-11-14 11:16:31
15.465,2.607,2018-11-14 11:16:35
14.92,2.607,2018-11-14 11:16:40
15.912,2.598,2018-11-14 11:16:45
15.019,2.598,2018-11-14 11:16:50
15.267,2.603,2018-11-14 11:16:54
16.606,2.593,2018-11-14 11:16:59
15.515,2.603,2018-11-14 11:17:04
15.565,2.603,2018-11-14 11:17:09
15.465,2.588,2018-11-14 11:17:13
16.556,2.588,2018-11-14 11:17:18
16.11,2.593,2018-11-14 11:17:23
16.854,2.593,2018-11-14 11:17:27
16.556,2.578,2018-11-14 11:17:32
15.713,2.583,2018-11-14 11:17:37
15.218,2.593,2018-11-14 11:17:42
16.754,2.588,2018-11-14 11:17:46
16.655,2.593,2018-11-14 11:17:51
16.854,2.588,2018-11-14 11:17:56
16.11,2.593,2018-11-14 11:18:00
14.771,2.598,2018-11-14 11:18:05
15.515,2.593,2018-11-14 11:18:10
12.937,2.598,2018-11-14 11:18:15
14.127,2.598,2018-11-14 11:18:19
15.019,2.598,2018-11-14 11:18:24
14.028,2.588,2018-11-14 11:18:29
12.739,2.593,2018-11-14 11:18:33
17.101,2.588,2018-11-14 11:18:38
16.903,2.578,2018-11-14 11:18:43
16.953,2.588,2018-11-14 11:18:48
17.25,2.588,2018-11-14 11:18:52
17.25,2.593,2018-11-14 11:18:57
17.448,2.578,2018-11-14 11:19:02
17.895,2.583,2018-11-14 11:19:07
17.845,2.578,2018-11-14 11:19:11
18.192,2.578,2018-11-14 11:19:16
18.093,2.583,2018-11-14 11:19:21
18.341,2.573,2018-11-14 11:19:25
18.192,2.578,2018-11-14 11:19:30
18.589,2.573,2018-11-14 11:19:35
18.539,2.583,2018-11-14 11:19:40
18.836,2.568,2018-11-14 11:19:44
19.927,2.568,2018-11-14 11:19:49
13.433,2.632,2018-11-14 11:19:54
13.136,2.617,2018-11-14 11:19:58
12.541,2.612,2018-11-14 11:20:03
13.185,2.612,2018-11-14 11:20:08
12.888,2.607,2018-11-14 11:20:13
12.441,2.617,2018-11-14 11:20:17
13.483,2.617,2018-11-14 11:20:22
13.086,2.612,2018-11-14 11:20:27
13.235,2.627,2018-11-14 11:20:32
13.334,2.607,2018-11-14 11:20:36
13.086,2.622,2018-11-14 11:20:41
13.086,2.622,2018-11-14 11:20:46
14.375,2.622,2018-11-14 11:20:50
13.681,2.632,2018-11-14 11:20:55
13.383,2.622,2018-11-14 11:21:00
14.424,2.637,2018-11-14 11:21:05
14.127,2.642,2018-11-14 11:21:09
14.177,2.637,2018-11-14 11:21:14
14.127,2.642,2018-11-14 11:21:19
17.052,2.627,2018-11-14 11:21:23
13.681,2.646,2018-11-14 11:21:28
