Leitura,Tensão,Data
189.035,0.0024,2018-11-14 11:12:44
199.712,0.0025,2018-11-14 11:12:49
204.108,0.0025,2018-11-14 11:12:54
275.703,0.0034,2018-11-14 11:12:58
742.324,0.0092,2018-11-14 11:13:03
1065.757,0.0133,2018-11-14 11:13:08
918.799,0.0114,2018-11-14 11:13:13
1095.902,0.0136,2018-11-14 11:13:17
1077.061,0.0134,2018-11-14 11:13:22
1061.361,0.0132,2018-11-14 11:13:27
1066.385,0.0133,2018-11-14 11:13:32
1044.404,0.013,2018-11-14 11:13:36
1043.776,0.013,2018-11-14 11:13:41
1055.708,0.0131,2018-11-14 11:13:46
1026.819,0.0128,2018-11-14 11:13:50
1038.752,0.0129,2018-11-14 11:13:55
1055.708,0.0131,2018-11-14 11:14:00
1028.075,0.0128,2018-11-14 11:14:05
1063.873,0.0132,2018-11-14 11:14:09
1065.129,0.0133,2018-11-14 11:14:14
1060.733,0.0132,2018-11-14 11:14:19
1056.337,0.0131,2018-11-14 11:14:23
1072.665,0.0133,2018-11-14 11:14:28
1060.105,0.0132,2018-11-14 11:14:33
1105.95,0.0138,2018-11-14 11:14:38
926.336,0.0115,2018-11-14 11:14:42
250.582,0.0031,2018-11-14 11:14:47
214.156,0.0027,2018-11-14 11:14:52
216.668,0.0027,2018-11-14 11:14:57
201.596,0.0025,2018-11-14 11:15:01
215.412,0.0027,2018-11-14 11:15:06
240.533,0.003,2018-11-14 11:15:11
244.301,0.003,2018-11-14 11:15:15
246.185,0.0031,2018-11-14 11:15:20
233.625,0.0029,2018-11-14 11:15:25
261.258,0.0033,2018-11-14 11:15:30
221.693,0.0028,2018-11-14 11:15:34
200.968,0.0025,2018-11-14 11:15:39
197.2,0.0025,2018-11-14 11:15:44
197.2,0.0025,2018-11-14 11:15:48
189.663,0.0024,2018-11-14 11:15:53
190.919,0.0024,2018-11-14 11:15:58
200.34,0.0025,2018-11-14 11:16:03
187.151,0.0023,2018-11-14 11:16:07
175.847,0.0022,2018-11-14 11:16:12
178.359,0.0022,2018-11-14 11:16:17
180.243,0.0022,2018-11-14 11:16:22
174.591,0.0022,2018-11-14 11:16:26
160.146,0.002,2018-11-14 11:16:31
170.823,0.0021,2018-11-14 11:16:36
172.707,0.0021,2018-11-14 11:16:40
153.866,0.0019,2018-11-14 11:16:45
168.938,0.0021,2018-11-14 11:16:50
171.451,0.0021,2018-11-14 11:16:55
170.823,0.0021,2018-11-14 11:16:59
154.494,0.0019,2018-11-14 11:17:04
164.542,0.002,2018-11-14 11:17:09
146.958,0.0018,2018-11-14 11:17:13
163.286,0.002,2018-11-14 11:17:18
158.262,0.002,2018-11-14 11:17:23
162.658,0.002,2018-11-14 11:17:28
121.209,0.0015,2018-11-14 11:17:32
155.122,0.0019,2018-11-14 11:17:37
160.146,0.002,2018-11-14 11:17:42
175.847,0.0022,2018-11-14 11:17:46
137.537,0.0017,2018-11-14 11:17:51
160.146,0.002,2018-11-14 11:17:56
155.75,0.0019,2018-11-14 11:18:01
130.629,0.0016,2018-11-14 11:18:05
161.402,0.002,2018-11-14 11:18:10
156.378,0.0019,2018-11-14 11:18:15
150.098,0.0019,2018-11-14 11:18:20
137.537,0.0017,2018-11-14 11:18:24
138.793,0.0017,2018-11-14 11:18:29
163.286,0.002,2018-11-14 11:18:34
160.146,0.002,2018-11-14 11:18:38
155.75,0.0019,2018-11-14 11:18:43
152.61,0.0019,2018-11-14 11:18:48
155.75,0.0019,2018-11-14 11:18:53
168.938,0.0021,2018-11-14 11:18:57
153.238,0.0019,2018-11-14 11:19:02
164.542,0.002,2018-11-14 11:19:07
173.963,0.0022,2018-11-14 11:19:11
189.663,0.0024,2018-11-14 11:19:16
178.359,0.0022,2018-11-14 11:19:21
182.755,0.0023,2018-11-14 11:19:26
191.547,0.0024,2018-11-14 11:19:30
194.059,0.0024,2018-11-14 11:19:35
221.064,0.0028,2018-11-14 11:19:40
246.185,0.0031,2018-11-14 11:19:45
516.864,0.0064,2018-11-14 11:19:49
239.905,0.003,2018-11-14 11:19:54
204.736,0.0025,2018-11-14 11:19:59
222.949,0.0028,2018-11-14 11:20:03
222.321,0.0028,2018-11-14 11:20:08
212.272,0.0026,2018-11-14 11:20:13
209.76,0.0026,2018-11-14 11:20:18
237.393,0.003,2018-11-14 11:20:22
215.412,0.0027,2018-11-14 11:20:27
228.601,0.0028,2018-11-14 11:20:32
229.857,0.0029,2018-11-14 11:20:36
234.253,0.0029,2018-11-14 11:20:41
240.533,0.003,2018-11-14 11:20:46
260.63,0.0032,2018-11-14 11:20:51
278.843,0.0035,2018-11-14 11:20:55
275.703,0.0034,2018-11-14 11:21:00
271.934,0.0034,2018-11-14 11:21:05
291.403,0.0036,2018-11-14 11:21:10
290.775,0.0036,2018-11-14 11:21:14
301.452,0.0038,2018-11-14 11:21:19
310.244,0.0039,2018-11-14 11:21:24
311.5,0.0039,2018-11-14 11:21:28
332.853,0.0041,2018-11-14 11:21:33
329.713,0.0041,2018-11-14 11:21:38
388.119,0.0048,2018-11-14 11:21:43
467.878,0.0058,2018-11-14 11:21:47
416.38,0.0052,2018-11-14 11:21:52
1154.308,0.0144,2018-11-14 11:21:57
881.746,0.011,2018-11-14 11:22:01
723.484,0.009,2018-11-14 11:22:06
617.348,0.0077,2018-11-14 11:22:11
1154.308,0.0144,2018-11-14 11:22:16
808.267,0.0101,2018-11-14 11:22:20
558.313,0.0069,2018-11-14 11:22:25
449.037,0.0056,2018-11-14 11:22:30
346.669,0.0043,2018-11-14 11:22:34
310.244,0.0039,2018-11-14 11:22:39
303.964,0.0038,2018-11-14 11:22:44
295.171,0.0037,2018-11-14 11:22:49
302.08,0.0038,2018-11-14 11:22:53
